Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,schinese
ZombieINC_KillBoss_key,Quest,Quest Info,Kill the Zombie,,杀死特殊感染者
ZombieINC_KillBossCraven_key,Quest,Quest Info,,X,the Coward Zombie,,胆小鬼
ZombieINC_KillBossCravenInfested_key,Quest,Quest Info,,X,the Zed,,
ZombieINC_KillBossWitch_key,Quest,Quest Info,,X,the Witch Zombie,,女巫
ZombieINC_KillBossWitchInfested_key,Quest,Quest Info,,X,the Mother,,教母
ZombieINC_KillBossDog_key,Quest,Quest Info,,X,the Alpha Zombie Dog,,丧尸犬
ZombieINC_KillBossDogInfested_key,Quest,Quest Info,,X,the Omega,,
ZombieINC_KillBossDogMinion_key,Quest,Quest Info,,X,the others Zombies Dogs,,仆从犬
ZombieINC_KillBossDogMinionInfested_key,Quest,Quest Info,,X,the Alpha Dogs,,领头犬
ZombieINC_KillBossBiker_key,Quest,Quest Info,,X,the Biker Zombie,,暴走族
ZombieINC_KillBossBikerInfested_key,Quest,Quest Info,,X,the Evel Knievel,,埃维尔·克尼维尔
ZombieINC_KillBossMultiply_key,Quest,Quest Info,,X,the Hungry Zombie,,吞噬者
ZombieINC_KillBossMultiplyInfested_key,Quest,Quest Info,,X,the Hungry Zombie,,吞噬者
ZombieINC_KillBossFire_key,Quest,Quest Info,,X,the Burnt Zombie and His Family,,灼烧者
ZombieINC_KillBossFireInfested_key,Quest,Quest Info,,X,the Burnt Zombie and His Family,,灼烧者
ZombieINC_KillBossScientist_key,Quest,Quest Info,,X,Kill the Scientist Zombie,,科学怪人
ZombieINC_KillBossScientistInfested_key,Quest,Quest Info,,X,Kill the Scientist Zombie,,科学怪人
ZombieINC_KillBossBomber_key,Quest,Quest Info,,X,the Bomber Zombie,,炸弹客
ZombieINC_KillBossBomberInfested_key,Quest,Quest Info,,X,the Bomber Zombie,,炸弹客
ZombieINC_KillBossTwinsBlue_key,Quest,Quest Info,,X,the Twin Blue,,双胞胎蓝
ZombieINC_KillBossTwinsBlueInfested_key,Quest,Quest Info,,X,the Twin Blue,,双胞胎蓝
ZombieINC_KillBossTwinsRed_key,Quest,Quest Info,,X,the Twin Red,,双胞胎红
ZombieINC_KillBossTwinsRedInfested_key,Quest,Quest Info,,X,the Twin Red,,双胞胎红
ZombieINC_KillBossDemolition_key,Quest,Quest Info,,X,the Demolisher Zombie,,毁灭者
ZombieINC_KillBossDemolitionInfested_key,Quest,Quest Info,,X,the Tyrant,,暴君
ZombieINC_challenge_tier1_KillBossCraven_name,Quest,Quest Info,,X,Tier 1 Hunt the Special Zombie.,,1级 猎杀特殊感染者
ZombieINC_challenge_tier1_KillBossCraven_subtitle,Quest,Quest Info,,X,A Peculiar Situation,,特殊情况
ZombieINC_challenge_tier1_KillBossCraven_description,Quest,Quest Info,,X,"Another piece of information is that the other guy noticed that when this zombie gets hurt, almost immediately other zombies just like him come to help. He said that he heard stories about a large family with more than 10 brothers who were identical.\n\nOne way to accomplish this mission is to kill him with the highest damage possible. Good luck!",,"另一个情报是，有人注意到当这个僵尸受伤时马上就会有其他像他一样的僵尸来帮忙。他说他听说过一个大家庭的故事，有十多个兄弟长得一模一样。\n\n完成这个任务的一个方法就是尽可能地用伤害灌死他。祝你好运！"
ZombieINC_challenge_tier1_KillBossCraven_offer,Quest,Quest Info,,X,"An old customer who was just passing by told me that there are a lot of zombies causing trouble in the area. He said that while scavengers [DECEA3]{poi.name}[-], he encountered [DECEA3]a specific zombie[-]. When he attempted to eliminate it, the cunning undead retreated, and others that were exactly just like him rushed to its aid. Before he got caught surrounded, he left the place. He put a bounty on his head. Do you mind taking the risk?",,"有个路过的老顾客告诉我，这一带有很多僵尸在捣乱。他说他在拾荒者营地[DECEA3]{poi.name}[-]处遇到了一个[DECEA3]特殊的僵尸[-]。当他试图消灭它的时候，狡猾的僵尸撤退了，而其他和他一模一样的僵尸冲了过去帮他解围。他在被僵尸包围之前离开了那个地方。他下了重金悬赏这个特殊僵尸的人头，你愿意冒这个险吗?"
ZombieINC_challenge_tier1_KillBossCraven_completion,Quest,Quest Info,,X,"Thanks for your help! But I'm sure that there are many other zombies that once were like this coward one.",,"感谢你的帮助！但我敢肯定，还有其他很多僵尸曾经像这个胆小鬼一样。"
ZombieINC_challenge_tier1_KillBossCraven_response,Quest,Quest Info,,X,Hunt the Coward Zombie ([DECEA3]{poi.distance} {poi.direction}[-]),,[猎杀]胆小鬼([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier1_KillBossCraven_statement,Quest,Quest Info,,X,"Ah, yes, the classic family reunion of the undead. Who knew zombies were so good at remembering their brothers. Be careful, don't get surrounded.",,"啊，是的，经典的活死人家庭聚会。谁会知道僵尸也善于互相帮助呢?小心点，别被包围了。"
ZombieINC_challenge_tier1_KillBossWitch_name,Quest,Quest Info,,X,Tier 1 Hunt the Special Zombie.,,2级 猎杀特殊感染者
ZombieINC_challenge_tier1_KillBossWitch_subtitle,Quest,Quest Info,,X,Some Witchcraft,,惊声尖叫
ZombieINC_challenge_tier1_KillBossWitch_description,Quest,Quest Info,,X,"This is a very special zombie. Her shout is very powerful; it can make your hands shake. Grab your guns with strength to fight that thing.",,"这是一个非常特别的僵尸。她的叫声很有力;它会让你的手发抖。拿起你的枪，使出你的全力对付她。"
ZombieINC_challenge_tier1_KillBossWitch_offer,Quest,Quest Info,,X,"A Zombie woman has appeared in [DECEA3]{poi.name}[-]. Folks said that in the past, when alive, she acted like a priest of a dark sect. Look for a zombie with a candle on their shoulders; that is the vest that she usually wore.",,"一名特殊的女性僵尸出现在[DECEA3]{poi.name}[-]。人们说，在过去她还活着的时候，她的平常的行为举止就像一个邪教的牧师。寻找一个肩膀上有蜡烛的僵尸;那是她经常穿的背心。"
ZombieINC_challenge_tier1_KillBossWitch_completion,Quest,Quest Info,,X,"I can't believe that someone put a horseshoe as a halo on her, hahahah! Well, no more black magic in this region. Just kidding, that type of thing doesn't exist, hahahaha.",,"我真不敢相信有人给她戴了个马蹄铁做的光环，哈哈哈!好吧，这片区域不再有黑魔法了。开个玩笑，这种事根本不存在，哈哈哈。"
ZombieINC_challenge_tier1_KillBossWitch_response,Quest,Quest Info,,X,Hunt the Witch Zombie ([DECEA3]{poi.distance} {poi.direction}[-]),,[猎杀]女巫([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier1_KillBossWitch_statement,Quest,Quest Info,,X,"Be careful, others hunters said that her shout can make your ass fall off",,"小心点，其他猎人说她的喊声能把人吓得屁滚尿流"
ZombieINC_challenge_tier1_KillBossWitchInfested_name,Quest,Quest Info,,X,Tier 6 Hunt the Special Zombie,,6级 猎杀特殊感染者
ZombieINC_challenge_tier1_KillBossWitchInfested_subtitle,Quest,Quest Info,,X,Cult Initiation,,入会仪式
ZombieINC_challenge_tier1_KillBossWitchInfested_description,Quest,Quest Info,,X,"They are calling her [DECEA3]THE MOTHER[-]. Apparently, she was the leader of a famous dark sect in this city before the zombie outbreak started. She has a powerful shout that can vary its frequency and create different effects. Be careful; this zombie can be extremely powerful.,,"他们称她为[DECEA3]母亲[-]。显然，在僵尸爆发之前她是这个城市一个著名邪教的领袖。她的叫喊声强而有力口牙，她可以改变它的频率以制造不同的效果。小心点儿，这个僵尸可能异常强大"
ZombieINC_challenge_tier1_KillBossWitchInfested_offer,Quest,Quest Info,,X,"We've already been dealing with a lot of problems with the bandits, and now there is some crazy zombie wandering the city, scaring some of our warriors just by [DECEA3]{poi.name}[-]. The zombie resembles a lot of a priest of a dark sect that we have dealt with before. As always, there is no such thing as black magic; everything has a reasonable explanation. Go ahead and get rid of this zombie.",,"我们已经处理了很多与土匪有关的问题，现在有一些疯狂的僵尸在城市里游荡，仅仅通过[DECEA3]{poi.name}[-]就吓到了我们的一些战士。这个僵尸很像我们之前遇到过的一个邪教的牧师。一如既往，这个世界上没有所谓的黑魔法;凡事皆有合理的解释。干掉她。"
ZombieINC_challenge_tier1_KillBossWitchInfested_completion,Quest,Quest Info,,X,"I'm glad that she is not our problem anymore. Now our warriors can focus on the war with the bandits",,"我很高兴她不再是我们的心魔了。现在我们的战士可以集中精力对付土匪了。"
ZombieINC_challenge_tier1_KillBossWitchInfested_response,Quest,Quest Info,,X,Hunt the Mother ([DECEA3]{poi.distance} {poi.direction}[-]),,[猎杀]教母([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier1_KillBossWitchInfested_statement,Quest,Quest Info,,X,"I've had enough of black magic today.",,"今天我已经受够了黑魔法。"
ZombieINC_challenge_tier2_KillBossDog_name,Quest,Quest Info,,X,Tier 2 Hunt the Special Zombie,,2级 猎杀特殊感染者
